     LRU FAULT MESSAGE LISTING
       LRU       | Mess# |    Status     |        Message          |Timer
L ENG AI VALVE   |   2   | FAILED/WIRING |A/I CONTROL VALVE 1B     |  3 
L ENG AI VALVE   |   3   | FAILED        |A/I CONTROL VALVE 4      |  3 
L ENG AI VALVE   |   4   | FAILED        |A/I CONTROL VALVE 5      |  3 
L ENG AI VALVE   |   5   | FAILED        |A/I CONTROL VALVE 6      |  3 
L ENG AI VALVE   |   6   | FAILED        |A/I CONTROL VALVE 7      |  3 
L ENG AI VALVE   |   7   | FAILED        |A/I CONTROL VALVE 8      |  3 
R ENG AI VALVE   |   1   | FAILED/WIRING |A/I CONTROL VALVE 1A     |  3 
R ENG AI VALVE   |   2   | FAILED/WIRING |A/I CONTROL VALVE 1B     |  3 
R ENG AI VALVE   |   3   | FAILED        |A/I CONTROL VALVE 4      |  3 
R ENG AI VALVE   |   4   | FAILED        |A/I CONTROL VALVE 5      |  3 
R ENG AI VALVE   |   5   | FAILED        |A/I CONTROL VALVE 6      |  3 
R ENG AI VALVE   |   6   | FAILED        |A/I CONTROL VALVE 7      |  3 
R ENG AI VALVE   |   7   | FAILED        |A/I CONTROL VALVE 8      |  3 
APU LOGIC PCB    |   1   | FAILED/WIRING |FAULT                    |  3 
APU START FUSE   |   1   | FAILED/WIRING |FUSE BLOWN               |  3 
APU ECU          |   1   | FAILED/WIRING |NO APU ECU-1 BUS TO RDC  | 15 
APU ECU          |   2   | FAILED        |APU S/D-ECU FAIL         |  3 
APU ECU          |   3   | FAILED        |INTERNAL FAULT           |  3 
APU ECU          |   6   | FAILED/WIRING |NO R-GP-4 IOC BUS INPUT  |  3 
APU IGNIT UNIT   |   1   | FAILED/WIRING |OPN/SHRT IGN EXCITER     |  3 
APU LO OIL PR SW |   1   | FAILED/WIRING |OPEN CIRCUIT             |  3 
APU FUEL SOV     |   1   | FAILED        |FUEL SOV FAIL TO CLOSE   |  3 
APU LD CTRL VLV  |   1   | FAILED        |FAIL TO CLOSE            |  3 
APU LD CTRL VLV  |   2   | FAILED/WIRING |OPN/SHRT TORQUE MOTOR    |  3 
APU LD CTRL VLV  |   3   | FAILED        |FAIL TO OPEN             |  3 
APU SURGE CV     |   1   | FAILED/WIRING |OPN/SHRT SOLENOID        |  3 
APU START MOTOR  |   2   | LRU OK / INFO |SHORT/LO PWR INPUT       |  3 
APU SPEED SNSR   |   1   | FAILED/WIRING |OPEN/SHORT CIRCUIT       |  3 
APU SPEED SNSR   |   2   | FAILED        |LOW AMPLITUDE            |  3 

       LRU       | Mess# |    Status     |        Message          |Timer
------------------------------------------------------------------------
APU EGT SENSOR   |   1   | FAILED/WIRING |OPN/SHRT CH1&2           |  3 
START CONTACTOR  |   1   | FAILED        |NOT DISENGAGED           |  3 
APU GENERATOR    |   1   | FAILED        |INTERNAL FAULT           |  3 
APU              |   1   | FAILED        |S/D-OVERSPEED            |  3 
APU              |   2   | FAILED        |S/D-LOST OVSP PROTECTION |  3 
APU              |   3   | FAILED        |S/D-EMERGENCY SW/FIRE    |  3 
APU              |   4   | FAILED        |S/D-NO CRANK             |  3 
APU              |   5   | FAILED        |S/D-NO LIGHTOFF          |  3 
APU              |   6   | FAILED        |S/D-SLOW START COND1     |  3 
APU              |   7   | FAILED        |S/D-SLOW START COND2     |  3 
APU              |   8   | FAILED        |S/D-NO ACCEL, HUNG START |  3 
APU              |   9   | FAILED        |S/D-SPEED ROLLBACK       |  3 
APU              |  10   | FAILED        |OIL PRESS LOW            |  3 
APU              |  11   | FAILED        |EGT OVERTEMP             |  3 
APU              |  12   | FAILED        |OIL TEMP HIGH            |  3 
APU              |  13   | FAILED        |BLEED REVERSE FLOW       |  3 
APU              |  14   | FAILED        |UNDERSPEED               |  3 
L ENG ARINC      |   1   | FAILED/WIRING |ARINC RECEIVER ARI-1A    |  3 
L ENG ARINC      |   2   | FAILED/WIRING |ARINC RECEIVER ARI-1B    |  3 
L ENG ARINC      |   3   | FAILED/WIRING |ARINC RECEIVER ARI-3A    |  3 
L ENG ARINC      |   4   | FAILED/WIRING |ARINC RECIEVER ARI-3B    |  3 
R ENG ARINC      |   1   | FAILED/WIRING |ARINC RECEIVER ARI-1A    |  3 
R ENG ARINC      |   2   | FAILED/WIRING |ARINC RECEIVER ARI-1B    |  3 
R ENG ARINC      |   3   | FAILED/WIRING |ARINC RECEIVER ARI-3A    |  3 
R ENG ARINC      |   4   | FAILED/WIRING |ARINC RECIEVER ARI-3B    |  3 
AIR SUPPLY OVHT  |   1   | OVERHEAT      |TRIM AIR SUPPLY OVERHEAT |  5 
L ENG STARTER    |   1   | FAILED/WIRING |STARTER CONTROL VALVE 1A |  3 
L ENG STARTER    |   2   | FAILED/WIRING |STARTER CONTROL VALVE 1B |  3 
L ENG STARTER    |   3   | FAILED        |STARTER CONTROL VALVE 4  |  3 
L ENG STARTER    |   4   | FAILED        |STARTER CONTROL VALVE 5  |  3 
L ENG STARTER    |   5   | FAILED        |STARTER CONTROL VALVE 6  |  3 
L ENG STARTER    |   6   | FAILED        |STARTER CONTROL VALVE 7  |  3 
R ENG STARTER    |   1   | FAILED/WIRING |STARTER CONTROL VALVE 1A |  3 
R ENG STARTER    |   2   | FAILED/WIRING |STARTER CONTROL VALVE 1B |  3 
R ENG STARTER    |   3   | FAILED        |STARTER CONTROL VALVE 4  |  3 
R ENG STARTER    |   4   | FAILED        |STARTER CONTROL VALVE 5  |  3 
R ENG STARTER    |   5   | FAILED        |STARTER CONTROL VALVE 6  |  3 
R ENG STARTER    |   6   | FAILED        |STARTER CONTROL VALVE 7  |  3 
AVIONICS FAN     |   1   | FAILED/WIRING |FAILED OFF               |  5 
AVIONICS VALVE   |   1   | FAILED/WIRING |DISAGREE / VALVE CLOSED  |  5 
AVIONICS VALVE   |   2   | FAILED/WIRING |DISAGREE / VALVE OPEN    |  5 
AVIONICS T SNSR1 |   1   | FAILED/WIRING |CH A&B FAULT             |  5 
AVIONICS T SNSR1 |   2   | FAILED/WIRING |CH A FAULT               |  7 
AVIONICS T SNSR1 |   3   | FAILED/WIRING |CH B FAULT               |  7 
AVIONICS T SNSR2 |   1   | FAILED/WIRING |CH A&B FAULT             |  5 
AVIONICS T SNSR2 |   2   | FAILED/WIRING |CH A FAULT               |  7 
AVIONICS T SNSR2 |   3   | FAILED/WIRING |CH B FAULT               |  7 
BRAKE CTRL UNIT  |   1   | OFF/NO OUTPUT |NO BCU ARINC OUT         |  3 
BRAKE CTRL UNIT  |   2   | FAILED        |INBOARD BRAKE FAIL       |  3 
BRAKE CTRL UNIT  |   3   | FAILED        |OUTBOARD BRAKE FAIL      |  3 
BRAKE CTRL UNIT  |   4   | FAILED/WIRING |NO BCU-A (IB) BUS OUTPUT |  5 
BRAKE CTRL UNIT  |   5   | FAILED/WIRING |NO BCU-B (OB) BUS OUTPUT |  5 
BRAKE CTRL UNIT  |   6   | FAILED/WIRING |IB BCU INTERFACE FAIL    |  3 
BRAKE CTRL UNIT  |   7   | FAILED/WIRING |OB BCU INTERFACE FAIL    |  3 
BRAKE CTRL UNIT  |   8   | FAILED/WIRING |NO R-GP-4 A429 TO IB BCU |  3 
BRAKE CTRL UNIT  |   9   | FAILED/WIRING |NO R-GP-4 A429 TO OB BCU |  3 
BRAKE CTRL UNIT  |  10   | FAILED        |IB BCU INTERNAL FAIL     |  3 
BRAKE CTRL UNIT  |  11   | FAILED        |OB BCU INTERNAL FAIL     |  3 
BLEED PRES SNSR1 |   1   | FAILED/WIRING |NO SIGNAL/OUT OF RANGE   |  5 
BLEED PRES SNSR2 |   1   | FAILED/WIRING |NO SIGNAL/OUT OF RANGE   |  5 
L ENG BSD        |   1   | FAILED/WIRING |BROKEN SHAFT DETECTOR 1A |  3 
L ENG BSD        |   2   | FAILED/WIRING |BROKEN SHAFT DETECTOR 1B |  3 
L ENG BSD        |   3   | FAILED        |BROKEN SHAFT DETECTOR 4  |  3 
R ENG BSD        |   1   | FAILED/WIRING |BROKEN SHAFT DETECTOR 1A |  3 

       LRU       | Mess# |    Status     |        Message          |Timer
------------------------------------------------------------------------
R ENG BSD        |   2   | FAILED/WIRING |BROKEN SHAFT DETECTOR 1B |  3 
R ENG BSD        |   3   | FAILED        |BROKEN SHAFT DETECTOR 4  |  3 
BUS TIE FEEDER   |   1   | FAILED        |SHORT CIRCUIT            |  3 
BLEED VALVE 1    |   1   | FAILED/WIRING |DISAGREE / VALVE OPEN    |  5 
BLEED VALVE 1    |   2   | FAILED/WIRING |DISAGREE / VALVE CLOSED  |  5 
BLEED VALVE 1    |   3   | FAILED        |L BLEED PRESSURE HIGH    |  5 
BLEED VALVE 1    |   4   | FAILED        |L BLEED PRESSURE LOW     |  5 
BLEED VALVE 2    |   1   | FAILED/WIRING |DISAGREE / VALVE CLOSED  |  5 
BLEED VALVE 2    |   2   | FAILED/WIRING |DISAGREE / VALVE OPEN    |  5 
BLEED VALVE 2    |   3   | FAILED        |R BLEED PRESSURE HIGH    |  5 
BLEED VALVE 2    |   4   | FAILED        |R BLEED PRESSURE LOW     |  5 
CAB VENT T SNSR  |   1   | FAILED/WIRING |CH A&B FAULT             |  5 
CAB T TRIM PNL   |   1   | FAILED/WIRING |OUT OF RANGE             |  5 
CABIN T SEL PNL  |   1   | FAILED/WIRING |OUT OF RANGE             |  5 
CCP 1            |   0   | PREREQUISITE  |INSTALLED                |  0 
CCP 1            |   1   | OFF/NO OUTPUT |NO OUTPUT                | 10 
CCP 1            |   2   | FAILED/WIRING |CCP BUTTON STUCK         |  8 
CCP 1            |   3   | FAILED/WIRING |CCP BUTTON STUCK         | 20 
CCP 1            |   4   | FAILED        |CCP FAULT                | 30 
CCP 1            |   5   | FAILED        |KEYBOARD FAULT           | 10 
CCP 1            |   6   | FAILED        |CONFIG STRAP FAULT       | 10 
CCP 2            |   0   | PREREQUISITE  |INSTALLED                |  0 
CCP 2            |   1   | OFF/NO OUTPUT |NO OUTPUT                | 10 
CCP 2            |   2   | FAILED/WIRING |CCP BUTTON STUCK         |  8 
CCP 2            |   3   | FAILED/WIRING |CCP BUTTON STUCK         | 20 
CCP 2            |   4   | FAILED        |CCP FAULT                | 30 
CCP 2            |   5   | FAILED        |KEYBOARD FAULT           | 10 
CCP 2            |   6   | FAILED        |CONFIG STRAP FAULT       | 10 
COPILOT CW RES 3 |   1   | FAILED/WIRING |RESOLVER FAILED          |  3 
COPILOT CW RES 4 |   1   | FAILED/WIRING |RESOLVER FAILED          |  3 
COMP TEMP SNSR   |   1   | FAILED/WIRING |CH A&B FAULT             |  5 
COMP TEMP SNSR   |   2   | FAILED/WIRING |CH A FAULT               |  7 
COMP TEMP SNSR   |   3   | FAILED/WIRING |CH B FAULT               |  5 
CDU 1            |   0   | PREREQUISITE  |INSTALLED                |  0 
CDU 1            |   1   | OFF/NO OUTPUT |NO OUTPUT                |  3 
CDU 1            |   2   | FAILED        |KEYBOARD FAULT           |  5 
CDU 1            |   3   | FAILED        |DISPLAY FAULT            |  5 
CDU 1            |   4   | FAILED        |BACK LIGHT FAULT         |  5 
CDU 1            |   5   | FAILED        |NVRAM FAULT              |  5 
CDU 1            |   6   | FAILED        |PARAMETER FAULT          |  5 
CDU 1            |   7   | FAILED        |STRAP MISCOMPARE         |  5 
CDU 1            |   8   | FAILED/WIRING |NO L-CDU-1 BUS OUTPUT    | 10 
CDU 1            |   9   | FAILED/WIRING |NO L-CDU-2 BUS OUTPUT    | 10 
CDU 1            |  10   | FAILED/WIRING |NO L-CDU-3 BUS OUTPUT    | 10 
CDU 1            |  11   | FAILED/WIRING |NO L-CDU-6 BUS OUTPUT    | 10 
CDU 1            |  12   | FAILED/WIRING |NO L-CDU-7 BUS OUTPUT    | 10 
CDU 1            |  13   | FAILED/WIRING |NO L-GP-1 BUS INPUT      | 10 
CDU 1            |  14   | FAILED/WIRING |NO R-GP-1 BUS INPUT      | 10 
CDU 1            |  15   | FAILED/WIRING |NO LB-RIU-6 BUS INPUT    | 10 
CDU 1            |  16   | FAILED/WIRING |NO RB-RIU-9 BUS INPUT    | 10 
CDU 1            |  17   | FAILED/WIRING |NO L-RIU-11 BUS INPUT    | 10 
CDU 1            |  18   | FAILED/WIRING |NO SATCOM-1 BUS IN       | 10 
CDU 1            |  19   | FAILED/WIRING |NO L-CDU-6 BUS OUTPUT    | 10 
CDU 2            |   0   | PREREQUISITE  |INSTALLED                |  0 
CDU 2            |   1   | OFF/NO OUTPUT |NO OUTPUT                |  3 
CDU 2            |   2   | FAILED        |KEYBOARD FAULT           |  5 
CDU 2            |   3   | FAILED        |DISPLAY FAULT            |  5 
CDU 2            |   4   | FAILED        |BACK LIGHT FAULT         |  5 
CDU 2            |   5   | FAILED        |NVRAM FAULT              |  5 
CDU 2            |   6   | FAILED        |PARAMETER FAULT          |  5 
CDU 2            |   7   | FAILED        |STRAP MISCOMPARE         |  5 
CDU 2            |   8   | FAILED/WIRING |NO R-CDU-1 BUS OUTPUT    | 10 
CDU 2            |   9   | FAILED/WIRING |NO R-CDU-2 BUS OUTPUT    | 10 
CDU 2            |  10   | FAILED/WIRING |NO R-CDU-3 BUS OUTPUT    | 10 

       LRU       | Mess# |    Status     |        Message          |Timer
------------------------------------------------------------------------
CDU 2            |  11   | FAILED/WIRING |NO R-CDU-6 BUS OUTPUT    | 10 
CDU 2            |  12   | FAILED/WIRING |NO L-GP-1 BUS INPUT      | 10 
CDU 2            |  13   | FAILED/WIRING |NO R-GP-1 BUS INPUT      | 10 
CDU 2            |  14   | FAILED/WIRING |NO RB-RIU-6 BUS INPUT    | 10 
CDU 2            |  15   | FAILED/WIRING |NO LB-RIU-9 BUS INPUT    | 10 
CDU 2            |  16   | FAILED/WIRING |NO SATCOM-1 BUS IN       | 10 
CDU 2            |  17   | FAILED/WIRING |NO L-RIU-12 BUS INPUT    | 15 
L ENG CFG PIN A  |   1   | FAILED/WIRING |ENGINE IDENTIFICATION 1A |  3 
L ENG CFG PIN A  |   2   | FAILED        |ENGINE IDENTIFICATION 4  |  3 
R ENG CFG PIN A  |   1   | FAILED/WIRING |ENGINE IDENTIFICATION 1A |  3 
R ENG CFG PIN A  |   2   | FAILED        |ENGINE IDENTIFICATION 4  |  3 
L ENG CFG PIN B  |   1   | FAILED/WIRING |ENGINE IDENTIFICATION 1B |  3 
L ENG CFG PIN B  |   2   | FAILED        |ENGINE IDENTIFICATION 4  |  3 
R ENG CFG PIN B  |   1   | FAILED/WIRING |ENGINE IDENTIFICATION 1B |  3 
R ENG CFG PIN B  |   2   | FAILED        |ENGINE IDENTIFICATION 4  |  3 
L ENG CGV ACT    |   1   | FAILED/WIRING |CGV ACTUATOR 1A          |  3 
L ENG CGV ACT    |   2   | FAILED/WIRING |CGV ACTUATOR 1B          |  3 
L ENG CGV ACT    |   3   | FAILED        |CGV ACTUATOR 4           |  3 
R ENG CGV ACT    |   1   | FAILED/WIRING |CGV ACTUATOR 1A          |  3 
R ENG CGV ACT    |   2   | FAILED/WIRING |CGV ACTUATOR 1B          |  3 
R ENG CGV ACT    |   3   | FAILED        |CGV ACTUATOR 4           |  3 
CKPT T SEL PNL   |   1   | FAILED/WIRING |CH A&B FAULT             |  5 
CLOCK            |   1   | OFF/NO OUTPUT |NO CLOCK OUTPUT TO RDC   |  3 
CLOCK            |   2   | OFF/NO OUTPUT |NO L-CLOCK BUS OUTPUT    |  3 
CLOCK            |   3   | OFF/NO OUTPUT |NO R-CLOCK BUS OUTPUT    |  3 
CPE 1 AUDIO      |   1   | FAILED/WIRING |NO OUTPUT                |  3 
CPE 1 AUDIO      |   2   | FAILED/WIRING |NO L-CPE-1 BUS OUTPUT    | 10 
CPE 1 AUDIO      |   3   | FAILED/WIRING |NO L-CPE-2 BUS OUTPUT    | 10 
CPE 2 AUDIO      |   1   | FAILED/WIRING |NO OUTPUT                |  3 
CPE 2 AUDIO      |   2   | FAILED/WIRING |NO R-CPE-1 BUS OUTPUT    | 10 
CPE 2 AUDIO      |   3   | FAILED/WIRING |NO R-CPE-2 BUS OUTPUT    | 10 
CKPT VENT T SNSR |   1   | FAILED/WIRING |CH A&B FAULT             |  5 
CSU 1            |   1   | FAILED        |CSU STRAP-A/C TYPE ERROR | 10 
CSU 1            |   2   | FAILED        |WORD 0/1 PARITY          | 10 
CSU 2            |   1   | FAILED        |CSU STRAP-A/C TYPE ERROR | 10 
CSU 2            |   2   | FAILED        |WORD 0/1 PARITY          | 10 
CSU 1/CSU 2      |   1   | FAILED        |CSU 1/CSU 2 MISCOMPARE   | 30 
CSU 1/CSU 2      |   2   | FAILED/WIRING |CSU STRAPPING INCORRECT  | 10 
CKPIT VOICE REC  |   0   | PREREQUISITE  |INSTALLED                |  0 
CKPIT VOICE REC  |   1   | OFF/NO OUTPUT |NO OUTPUT                |  3 
CKPIT VOICE REC  |   2   | FAILED/WIRING |CVR INTERNAL FAILURE     | 10 
CKPIT VOICE REC  |   3   | FAILED/WIRING |CVR CNTRL PANEL FAILURE  | 10 
CKPIT VOICE REC  |   4   | FAILED/WIRING |DATALINK INTERFACE FAIL  | 10 
CKPIT VOICE REC  |   5   | FAILED/WIRING |RIPS STATUS FAULT        | 15 
CKPIT VOICE REC  |   6   | FAILED/WIRING |RIPS STATUS MAINT        |  5 
DBU              |   0   | PREREQUISITE  |INSTALLED                |  0 
DBU              |   1   | FAILED        |INTERNAL FAULT           | 10 
DBU              |   2   | DEFERRED MAINT|RECEIVED DATA ERROR      | 10 
DCP 1            |   0   | PREREQUISITE  |INSTALLED                |  0 
DCP 1            |   1   | OFF/NO OUTPUT |NO OUTPUT                |  3 
DCP 1            |   2   | FAILED        |INTERNAL FAULT           |  5 
DCP 1            |   3   | FAILED/WIRING |NO L-DCP-1 BUS OUTPUT    | 10 
DCP 1            |   4   | FAILED/WIRING |NO L-DCP-2 BUS OUTPUT    | 10 
DCP 1            |   5   | FAILED/WIRING |DCP BUTTON STUCK         | 10 
DCP 2            |   0   | PREREQUISITE  |INSTALLED                |  0 
DCP 2            |   1   | OFF/NO OUTPUT |NO OUTPUT                |  3 
DCP 2            |   2   | FAILED        |INTERNAL FAULT           |  5 
DCP 2            |   3   | FAILED/WIRING |NO R-DCP-1 BUS OUTPUT    | 10 
DCP 2            |   4   | FAILED/WIRING |NO R-DCP-2 BUS OUTPUT    | 10 
DCP 2            |   5   | FAILED/WIRING |DCP BUTTON STUCK         | 10 
DCU A            |   1   | FAILED/WIRING |CONFIGURATION ERROR      |  1 
DCU A            |   2   | OFF/NO OUTPUT |NO OUTPUT                |  3 
DCU A            |   3   | FAILED        |INTERNAL FAULT           |  5 
DCU A            |   4   | FAILED/WIRING |NO A-DCU-1 BUS OUTPUT    | 10 

       LRU       | Mess# |    Status     |        Message          |Timer
------------------------------------------------------------------------
DCU A            |   5   | FAILED/WIRING |NO A-DCU-2 BUS OUTPUT    | 10 
DCU A            |   6   | FAILED/WIRING |NO A-DCU-4 BUS OUTPUT    | 10 
DCU A            |   7   | FAILED/WIRING |NO A-DCU-5 BUS OUTPUT    | 10 
DCU A            |   8   | FAILED/WIRING |NO A-DCU-6 BUS OUTPUT    | 10 
DCU A            |   9   | FAILED/WIRING |NO A-DCU-8 BUS OUTPUT    | 10 
