     LRU FAULT MESSAGE LISTING
       LRU       | Mess# |    Status     |        Message          |Timer
FQGC             |   3   | LRU OK / INFO |NO L-GP-5 BUS INPUT      |  3 
FQGC             |   4   | LRU OK / INFO |NO R-GP-5 BUS INPUT      |  3 
FQGC             |   5   | LRU OK / INFO |WOFFW INPUT DISAGREE     |  3 
FQGC             |   6   | FAILED/WIRING |NO FQGC-A BUS TO RDC     |  5 
FQGC             |   7   | FAILED/WIRING |NO FQGC-B BUS TO RDC     |  5 
FQGC             |   8   | LRU OK / INFO |AHC INPUT DISAGREE       |  3 
FQGC             |   9   | LRU OK / INFO |IRS INPUT DISAGREE       |  3 
FUS R/D PANEL    |   1   | FAILED/WIRING |NO COMM WITH FQGC        |  3 
FSCL RVDT 1      |   1   | FAILED/WIRING |L CH A RVDT OUT OF RANGE |  3 

       LRU       | Mess# |    Status     |        Message          |Timer
------------------------------------------------------------------------
FSCL RVDT 2      |   1   | FAILED/WIRING |R CH A RVDT OUT OF RANGE |  3 
FSCL RVDT 3      |   1   | FAILED/WIRING |L CH B RVDT OUT OF RANGE |  3 
FSCL RVDT 4      |   1   | FAILED/WIRING |R CH B RVDT OUT OF RANGE |  3 
FSU 1            |   0   | PREREQUISITE  |NOT INSTALLED            |  0 
FSU 1            |   1   | OFF/NO OUTPUT |NO OUTPUT                |  3 
FSU 1            |   2   | OFF/NO OUTPUT |NO OUTPUT TO IOC         | 10 
FSU 1            |   3   | FAILED        |FSU PROC CARD FAULT      |  5 
FSU 1            |   4   | FAILED/WIRING |FSU NODE CARD FAULT      |  5 
FSU 1            |   5   | FAILED        |SOFTWARE FAULT           |  5 
FSU 1            |   6   | FAILED/WIRING |INVALID CONFIGURATION    |  5 
FSU 1            |   8   | FAILED/WIRING |ECU FAULT                |  5 
FSU 1            |   9   | FAILED        |FSU FAN FAULT            |  5 
FSU 1            |  10   | LRU OK / INFO |TIME/DATE INVALID        |  5 
FSU 1            |  11   | FAILED        |APPLICATION FAULT        |  5 
FSU 1            |  12   | FAILED/WIRING |NO L-RIU-11 BUS INPUT    | 30 
FSU 1            |  13   | FAILED/WIRING |NO L-IOC-2 BUS INPUT     | 30 
FSU 1            |  14   | FAILED/WIRING |NO L-IOC-2 BUS INPUT     | 30 
FSU 1 CHARTS     |   0   | PREREQUISITE  |NOT INSTALLED            |  0 
FSU 1 CHARTS     |   1   | DON'T FAIL    |BLOCKING EQUATION        |  0 
FSU 1 CHARTS     |   2   | FAILED        |DATABASE FILE FAULT      |  5 
FSU 1 CHARTS     |   4   | FAILED        |CONFIG CONNECTION LOST   |  5 
FSU 1 CHARTS     |   6   | FAILED        |APPLICATION FAULT        |  5 
FSU 1 MAPS       |   0   | PREREQUISITE  |NOT INSTALLED            |  0 
FSU 1 MAPS       |   1   | DON'T FAIL    |BLOCKING EQUATION        |  0 
FSU 1 MAPS       |   2   | FAILED        |DATABASE FILE FAULT      |  5 
FSU 1 MAPS       |   4   | FAILED        |CONFIG CONNECTION LOST   |  5 
FSU 1 MAPS       |   5   | FAILED        |SERVER CONNECTION LOST   |  5 
FSU 1 MAPS       |   6   | FAILED        |APP CONNECTION LOST      |  5 
FSU 1 MAPS       |   7   | FAILED        |APPLICATION FAULT        |  3 
FSU 1 DL GWX     |   0   | PREREQUISITE  |NOT INSTALLED            |  0 
FSU 1 DL GWX     |   1   | DON'T FAIL    |BLOCKING EQUATION        |  0 
FSU 1 DL GWX     |   2   | FAILED        |BACKGND DB IMAGE FAULT   |  5 
FSU 1 DL GWX     |   3   | FAILED        |INSUFFICIENT STORAGE     |  5 
FSU 1 DL GWX     |   5   | FAILED        |CONFIG CONNECTION LOST   |  5 
FSU 1 DL GWX     |   6   | LRU OK / INFO |RECEIVED DATA INVALID    |  5 
FSU 1 DL GWX     |   7   | FAILED        |APPLICATION FAULT        |  5 
FSU 1 DL GWX     |   8   | FAILED/WIRING |FSU CROSS-TALK FAILURE   | 30 
FSU 1 XM GWX     |   0   | PREREQUISITE  |NOT INSTALLED            |  0 
FSU 1 XM GWX     |   1   | DON'T FAIL    |BLOCKING EQUATION        |  0 
FSU 1 XM GWX     |   2   | FAILED        |DATABASE FILE FAULT      |  5 
FSU 1 XM GWX     |   3   | FAILED        |INSUFFICIENT STORAGE     |  5 
FSU 1 XM GWX     |   5   | FAILED        |CONFIG CONNECTION LOST   |  5 
FSU 1 XM GWX     |   6   | FAILED        |APPLICATION FAULT        |  5 
XM RECEIVER      |   0   | PREREQUISITE  |NOT INSTALLED            |  0 
XM RECEIVER      |   1   | DON'T FAIL    |BLOCKING EQUATION        |  0 
XM RECEIVER      |   3   | FAILED/WIRING |XM 422 BUS TO FSU FAULT  | 15 
FSU 2            |   0   | PREREQUISITE  |NOT INSTALLED            |  0 
FSU 2            |   1   | OFF/NO OUTPUT |NO OUTPUT                |  3 
FSU 2            |   2   | OFF/NO OUTPUT |NO OUTPUT TO IOC         | 10 
FSU 2            |   3   | FAILED        |FSU PROC CARD FAULT      |  5 
FSU 2            |   4   | FAILED/WIRING |FSU NODE CARD FAULT      |  5 
FSU 2            |   5   | FAILED        |SOFTWARE FAULT           |  5 
FSU 2            |   6   | FAILED/WIRING |INVALID CONFIGURATION    |  5 
FSU 2            |   8   | FAILED/WIRING |ECU FAULT                |  5 
FSU 2            |   9   | FAILED        |FSU FAN FAULT            |  5 
FSU 2            |  10   | LRU OK / INFO |TIME/DATE INVALID        |  5 
FSU 2            |  11   | FAILED        |APPLICATION FAULT        |  5 
FSU 2            |  12   | FAILED/WIRING |NO R-IOC-2 BUS INPUT     | 30 
FSU 2 CHARTS     |   0   | PREREQUISITE  |NOT INSTALLED            |  0 
FSU 2 CHARTS     |   1   | DON'T FAIL    |BLOCKING EQUATION        |  0 
FSU 2 CHARTS     |   2   | FAILED        |DATABASE FILE FAULT      |  5 
FSU 2 CHARTS     |   4   | FAILED        |CONFIG CONNECTION LOST   |  5 
FSU 2 CHARTS     |   6   | FAILED        |APPLICATION FAULT        |  5 
FSU 2 MAPS       |   0   | PREREQUISITE  |NOT INSTALLED            |  0 

       LRU       | Mess# |    Status     |        Message          |Timer
------------------------------------------------------------------------
FSU 2 MAPS       |   1   | DON'T FAIL    |BLOCKING EQUATION        |  0 
FSU 2 MAPS       |   2   | FAILED        |DATABASE FILE FAULT      |  5 
FSU 2 MAPS       |   4   | FAILED        |CONFIG CONNECTION LOST   |  5 
FSU 2 MAPS       |   5   | FAILED        |SERVER CONNECTION LOST   |  5 
FSU 2 MAPS       |   6   | FAILED        |APP CONNECTION LOST      |  5 
FSU 2 MAPS       |   7   | FAILED        |APPLICATION FAULT        |  3 
FSU 2 DL GWX     |   0   | PREREQUISITE  |NOT INSTALLED            |  0 
FSU 2 DL GWX     |   1   | DON'T FAIL    |BLOCKING EQUATION        |  0 
FSU 2 DL GWX     |   2   | FAILED        |BACKGND DB IMAGE FAULT   |  5 
FSU 2 DL GWX     |   3   | FAILED        |INSUFFICIENT STORAGE     |  5 
FSU 2 DL GWX     |   5   | FAILED        |CONFIG CONNECTION LOST   |  5 
FSU 2 DL GWX     |   6   | LRU OK / INFO |RECEIVED DATA INVALID    |  5 
FSU 2 DL GWX     |   7   | FAILED        |APPLICATION FAULT        |  5 
FSU 2 DL GWX     |   8   | FAILED/WIRING |FSU CROSS-TALK FAILURE   | 30 
FSU 2 XM GWX     |   0   | PREREQUISITE  |NOT INSTALLED            |  0 
FSU 2 XM GWX     |   1   | DON'T FAIL    |BLOCKING EQUATION        |  0 
FSU 2 XM GWX     |   2   | FAILED        |DATABASE FILE FAULT      |  5 
FSU 2 XM GWX     |   3   | FAILED        |INSUFFICIENT STORAGE     |  5 
FSU 2 XM GWX     |   5   | FAILED        |CONFIG CONNECTION LOST   |  5 
FSU 2 XM GWX     |   6   | FAILED        |APPLICATION FAULT        |  5 
L ENG FUEL T/B   |   1   | FAILED/WIRING |FUEL TEMP/BYPASS 1A      |  3 
L ENG FUEL T/B   |   2   | FAILED/WIRING |FUEL TEMP/BYPASS 1B      |  3 
L ENG FUEL T/B   |   3   | FAILED        |FUEL TEMP/BYPASS 4       |  3 
R ENG FUEL T/B   |   1   | FAILED/WIRING |FUEL TEMP/BYPASS 1A      |  3 
R ENG FUEL T/B   |   2   | FAILED/WIRING |FUEL TEMP/BYPASS 1B      |  3 
R ENG FUEL T/B   |   3   | FAILED        |FUEL TEMP/BYPASS 4       |  3 
GPS 1            |   0   | PREREQUISITE  |INSTALLED                |  0 
GPS 1            |   1   | FAILED        |INTERNAL FAULT           |  5 
GPS 1            |   2   | OFF/NO OUTPUT |NO OUTPUT                |  3 
GPS 1            |   3   | OFF/NO OUTPUT |NO OUTPUT                |  3 
GPS 1            |   4   | FAILED/WIRING |NO L-GPS-1 BUS OUTPUT    | 10 
GPS 1            |   5   | FAILED/WIRING |NO L-GPS-2 BUS OUTPUT    | 15 
GPS 1            |   6   | FAILED/WIRING |NO L-GPS-3 BUS OUTPUT    | 15 
GPS 1            |   7   | FAILED/WIRING |NO L-GP-4 BUS INPUT      | 10 
GPS 1            |   8   | FAILED/WIRING |NO R-GP-4 BUS INPUT      | 10 
GPS 2            |   0   | PREREQUISITE  |INSTALLED                |  0 
GPS 2            |   1   | FAILED        |INTERNAL FAULT           |  5 
GPS 2            |   2   | OFF/NO OUTPUT |NO OUTPUT                |  3 
GPS 2            |   3   | OFF/NO OUTPUT |NO OUTPUT                |  3 
GPS 2            |   4   | OFF/NO OUTPUT |NO R-GPS-1 BUS OUTPUT    | 10 
GPS 2            |   5   | FAILED/WIRING |NO R-GPS-2 BUS OUTPUT    | 12 
GPS 2            |   6   | FAILED/WIRING |NO R-GPS-2 BUS OUTPUT    | 15 
GPS 2            |   7   | FAILED/WIRING |NO R-GPS-3 BUS OUTPUT    | 15 
GPS 2            |   8   | FAILED/WIRING |NO L-GP-4 BUS INPUT      | 10 
GPS 2            |   9   | FAILED/WIRING |NO R-GP-4 BUS INPUT      | 10 
GSSV 1           |   1   | FAILED/WIRING |GSSV FAIL                |  3 
GSSV 2           |   1   | FAILED/WIRING |GSSV FAIL                |  3 
HOT AIR T SNSR   |   1   | FAILED/WIRING |CH A&B FAULT             |  5 
HF 1             |   0   | PREREQUISITE  |INSTALLED                |  0 
HF 1             |   1   | OFF/NO OUTPUT |NO L-HF-1 OUTPUT TO RIU1 |  5 
HF 1             |   2   | FAILED/WIRING |NO L-HF-1 BUS OUTPUT     | 10 
HF 1             |   3   | FAILED/WIRING |NO LA-RIU-8 BUS INPUT    | 10 
HF 1             |   4   | FAILED/WIRING |NO LA-RIU-8 BUS INPUT    | 10 
HF 1             |   5   | FAILED/WIRING |NO LB-RIU-8 BUS INPUT    | 10 
HF 1             |   6   | FAILED/WIRING |NO LB-RIU-8 BUS INPUT    | 10 
HF 1             |   7   | FAILED/WIRING |NO L-CDU-6 BUS INPUT     | 10 
HF 1             |   8   | FAILED/WIRING |NO L-CDU-6 BUS INPUT     | 10 
HF 1             |   9   | FAILED/WIRING |R/T CIRCUITRY            | 10 
HF 1             |  10   | FAILED/WIRING |ANTENNA COUPLER FAULT    | 10 
HF 1             |  11   | FAILED/WIRING |FIBER OPTIC CONTROL      | 10 
HF 2             |   0   | PREREQUISITE  |INSTALLED                |  0 
HF 2             |   1   | OFF/NO OUTPUT |NO R-HF-1 OUTPUT TO RIU2 |  5 
HF 2             |   2   | FAILED/WIRING |NO R-HF-1 BUS OUTPUT     | 10 
HF 2             |   3   | FAILED/WIRING |NO RA-RIU-8 BUS INPUT    | 10 

       LRU       | Mess# |    Status     |        Message          |Timer
------------------------------------------------------------------------
HF 2             |   4   | FAILED/WIRING |NO RB-RIU-8 BUS INPUT    | 10 
HF 2             |   5   | FAILED/WIRING |NO R-CDU-6 BUS INPUT     | 10 
HF 2             |   6   | FAILED/WIRING |NO L-CDU-7 BUS INPUT     | 10 
HF 2             |   7   | FAILED/WIRING |R/T CIRCUITRY            | 10 
HF 2             |   8   | FAILED/WIRING |ANTENNA COUPLER FAULT    | 10 
HF 2             |   9   | FAILED/WIRING |FIBER OPTIC CONTROL      | 10 
L ENG HMU        |   1   | FAILED/WIRING |FUEL SYSTEM HMU 1A       |  3 
L ENG HMU        |   2   | FAILED/WIRING |FUEL SYSTEM HMU 1B       |  3 
L ENG HMU        |   3   | FAILED        |FUEL SYSTEM HMU 4        |  3 
R ENG HMU        |   1   | FAILED/WIRING |FUEL SYSTEM HMU 1A       |  3 
R ENG HMU        |   2   | FAILED/WIRING |FUEL SYSTEM HMU 1B       |  3 
R ENG HMU        |   3   | FAILED        |FUEL SYSTEM HMU 4        |  3 
HI PRESS SNSR1   |   1   | FAILED/WIRING |NO SIGNAL/OUT OF RANGE   |  5 
HI PRESS SNSR2   |   1   | FAILED/WIRING |NO SIGNAL/OUT OF RANGE   |  5 
HI PRESS VALVE 1 |   1   | FAILED/WIRING |DISAGREE / VALVE CLOSED  |  5 
HI PRESS VALVE 1 |   2   | FAILED/WIRING |DISAGREE / VALVE OPEN    |  5 
HI PRESS VALVE 1 |   3   | FAILED        |L BLEED PRESSURE HIGH    |  5 
HI PRESS VALVE 2 |   1   | FAILED/WIRING |DISAGREE / VALVE CLOSED  |  5 
HI PRESS VALVE 2 |   2   | FAILED/WIRING |DISAGREE / VALVE OPEN    |  5 
HI PRESS VALVE 2 |   3   | FAILED        |R BLEED PRESSURE HIGH    |  5 
HOT AIR REG SOV1 |   1   | FAILED/WIRING |DISAGREE / VALVE CLOSED  |  5 
HOT AIR REG SOV1 |   2   | FAILED/WIRING |DISAGREE / VALVE OPEN    |  5 
HOT AIR REG SOV2 |   1   | FAILED/WIRING |DISAGREE / VALVE CLOSED  |  5 
HOT AIR REG SOV2 |   2   | FAILED/WIRING |DISAGREE / VALVE OPEN    |  5 
HORIZ TRIM ECU   |   1   | FAILED/WIRING |SPC CHANNEL A INPUT      |  3 
HORIZ TRIM ECU   |   2   | FAILED/WIRING |SPC CHANNEL B INPUT      |  3 
HORIZ TRIM ECU   |   3   | OFF/NO OUTPUT |NO HSTECU OUTPUT TO IOC  |  3 
HORIZ TRIM ECU   |   4   | FAILED        |INTERNAL FAULT           |  3 
HORIZ TRIM ECU   |   5   | LRU OK / INFO |NO L-GP-5 BUS INPUT      |  3 
HORIZ TRIM ECU   |   6   | LRU OK / INFO |NO R-GP-5 BUS INPUT      |  3 
HORIZ TRIM ECU   |   7   | FAILED/WIRING |NO HSTECU-1 BUS TO L-IOC |  5 
HORIZ TRIM ECU   |   8   | FAILED/WIRING |NO HSTECU-2 BUS TO R-IOC |  5 
HORIZ TRIM ECU   |   9   | FAILED/WIRING |PILOT MAN TRIM SW        |  3 
HORIZ TRIM ECU   |  10   | FAILED/WIRING |COPILOT MAN TRIM SW      |  3 
HORIZ TRIM ECU   |  11   | FAILED/WIRING |NO ADC-1 INPUT ON L-GP-5 |  3 
HORIZ TRIM ECU   |  12   | FAILED/WIRING |NO ADC-2 INPUT ON R-GP-5 |  3 
HORIZ TRIM ECU   |  13   | FAILED/WIRING |NO FGC-1 INPUT ON L-GP-5 |  3 
HORIZ TRIM ECU   |  14   | FAILED/WIRING |NO FGC-2 INPUT ON R-GP-5 |  3 
HORIZ TRIM ECU   |  15   | FAILED/WIRING |NO FCU INPUT ON L-GP-5   |  3 
HORIZ TRIM ECU   |  16   | FAILED/WIRING |NO FCU INPUT ON R-GP-5   |  3 
HORIZ TRIM ECU   |  17   | FAILED/WIRING |NO-BACK FAULT            |  3 
HORIZ TRIM ECU   |  18   | FAILED/WIRING |HSTA MCU FAULT           |  3 
HORIZ TRIM ECU   |  19   | FAILED/WIRING |NO PSEU CHANNEL A INPUT  |  3 
HORIZ TRIM ECU   |  20   | FAILED/WIRING |NO PSEU CHANNEL B INPUT  |  3 
HORIZ TRIM ECU   |  21   | FAILED/WIRING |RTLA POSITION FAULT      |  3 
HORIZ TRIM ECU   |  22   | FAILED/WIRING |RTLA FAULT               |  3 
HORIZ TRIM ECU   |  23   | FAILED/WIRING |RTL DISCONNECT           |  3 
HORIZ TRIM ECU   |  24   | FAILED/WIRING |RTL SECONDARY            |  3 
HORIZ TRIM ECU   |  25   | FAILED/WIRING |SECU-1 INPUT             |  3 
HORIZ TRIM ECU   |  26   | FAILED/WIRING |SECU-2 INPUT             |  3 
HORIZ TRIM BRAK1 |   1   | FAILED/WIRING |HORIZ TRIM BRAKE 1 FAULT |  3 
HORIZ TRIM BRAK3 |   1   | FAILED/WIRING |HORIZ TRIM BRAKE 3 FAULT |  3 
HST ENGAGE RELY1 |   1   | FAILED/WIRING |RELAY FAILED             |  3 
HST ENGAGE RELY2 |   1   | FAILED/WIRING |RELAY FAILED             |  3 
HORIZ TRIM LVDT1 |   1   | FAILED/WIRING |LVDT INVALID             |  3 
HORIZ TRIM LVDT2 |   1   | FAILED/WIRING |LVDT INVALID             |  3 
H-TRIM PRIM MOTR |   1   | FAILED/WIRING |OPEN/SHORT MOTOR         |  3 
L ENG T2 HT MON  |   1   | FAILED/WIRING |T2 HEAT CURRENT SENSE 1A |  3 
L ENG T2 HT MON  |   2   | FAILED/WIRING |T2 HEAT CURRENT SENSE 1B |  3 
R ENG T2 HT MON  |   1   | FAILED/WIRING |T2 HEAT CURRENT SENSE 1A |  3 
R ENG T2 HT MON  |   2   | FAILED/WIRING |T2 HEAT CURRENT SENSE 1B |  3 
HYD GEN          |   1   | FAILED/WIRING |HYD GEN ISOL VALVE FAIL  |  3 
L ENG HYD BYP    |   1   | FAILED/WIRING |HYDRAULIC SOLENOID 1A    |  3 
L ENG HYD BYP    |   2   | FAILED/WIRING |HYDRAULIC SOLENOID 1B    |  3 

       LRU       | Mess# |    Status     |        Message          |Timer
------------------------------------------------------------------------
L ENG HYD BYP    |   3   | FAILED        |HYDRAULIC SOLENOID 4     |  3 
L ENG HYD BYP    |   4   | FAILED        |HYDRAULIC SOLENOID 5     |  3 
L ENG HYD BYP    |   5   | FAILED        |HYDRAULIC SOLENOID 6     |  3 
L ENG HYD BYP    |   6   | FAILED        |HYDRAULIC SOLENOID 7     |  3 
R ENG HYD BYP    |   1   | FAILED/WIRING |HYDRAULIC SOLENOID 1A    |  3 
R ENG HYD BYP    |   2   | FAILED/WIRING |HYDRAULIC SOLENOID 1B    |  3 
R ENG HYD BYP    |   3   | FAILED        |HYDRAULIC SOLENOID 4     |  3 
R ENG HYD BYP    |   4   | FAILED        |HYDRAULIC SOLENOID 5     |  3 
R ENG HYD BYP    |   5   | FAILED        |HYDRAULIC SOLENOID 6     |  3 
R ENG HYD BYP    |   6   | FAILED        |HYDRAULIC SOLENOID 7     |  3 
IASC1      TST A |   1   | OFF/NO OUTPUT |NO IASC-1 BUS TO DCU     |  5 
IASC1      TST A |   2   | OFF/NO OUTPUT |NO IASC1A BUS TO DCU-RDC |  7 
IASC1      TST A |   3   | OFF/NO OUTPUT |NO IASC-1A BUS TO DCU    |  9 
IASC1      TST A |   4   | OFF/NO OUTPUT |NO IASC-1B BUS TO DCU    |  7 
IASC1      TST A |   5   | FAILED        |AIR SYSTEM CONT 1 FAIL   |  5 
IASC1      TST A |   6   | FAILED        |IASC-1 PRESS SNSR FAIL   |  5 
IASC1      TST A |   7   | FAILED        |NO IASC-1A XTALK BUS     |  7 
IASC1      TST A |   8   | FAILED        |NO IASC-1B XTALK BUS     |  7 
IASC1      TST A |   9   | FAILED/WIRING |NO IASC-2A BUS INPUT     |  5 
IASC1      TST A |  10   | FAILED/WIRING |NO IASC-2B BUS INPUT     |  5 
IASC1      TST A |  11   | FAILED/WIRING |NO IASC-1 RS422 TO OFV   |  5 
IASC1      TST A |  12   | FAILED/WIRING |IASC1 RS422 DISABLE FAIL |  5 
IASC1      TST A |  13   | FAILED        |PIN PROGRAMMING DISAGREE |  5 
IASC1      TST A |  14   | LRU OK / INFO |NO DCU-4 CH A BUS INPUT  |  5 
IASC1      TST A |  15   | FAILED/WIRING |NO DCU-4 CH B BUS INPUT  |  5 
IASC1      TST A |  16   | FAILED/WIRING |NO L-MFD-2 BUS INPUT     |  5 
IASC2      TST A |   1   | OFF/NO OUTPUT |NO IASC-2 BUS TO DCU     |  5 
IASC2      TST A |   2   | OFF/NO OUTPUT |NO IASC2A BUS TO DCU-RDC |  7 
IASC2      TST A |   3   | OFF/NO OUTPUT |NO IASC-2A BUS TO DCU    |  9 
IASC2      TST A |   4   | OFF/NO OUTPUT |NO IASC-2B BUS TO DCU    |  7 
IASC2      TST A |   5   | FAILED        |AIR SYSTEM CONT 2 FAIL   |  5 
IASC2      TST A |   6   | FAILED        |IASC-2 PRESS SNSR FAIL   |  5 
IASC2      TST A |   7   | FAILED        |NO IASC-2A XTALK BUS     |  7 
IASC2      TST A |   8   | FAILED        |NO IASC-2B XTALK BUS     |  7 
IASC2      TST A |   9   | FAILED/WIRING |NO IASC-1A BUS INPUT     |  5 
IASC2      TST A |  10   | FAILED/WIRING |NO IASC-1B BUS INPUT     |  5 
IASC2      TST A |  11   | FAILED/WIRING |NO IASC-2 RS422 TO OFV   |  5 
IASC2      TST A |  12   | FAILED/WIRING |IASC2 RS422 DISABLE FAIL |  5 
IASC2      TST A |  13   | FAILED        |PIN PROGRAMMING DISAGREE |  5 
IASC2      TST A |  14   | LRU OK / INFO |NO DCU-4 CH A BUS INPUT  |  5 
IASC2      TST A |  15   | FAILED/WIRING |NO DCU-4 CH B BUS INPUT  |  5 
IASC2      TST A |  16   | FAILED/WIRING |NO R-MFD-2 BUS INPUT     |  5 
IASC1            |   1   | FAILED/WIRING |LOW TEMP DISCRETE 1 FAIL |  5 
IASC1            |   2   | FAILED/WIRING |HI TEMP DISCRETE 1 FAIL  |  5 
IASC2            |   1   | FAILED/WIRING |LOW TEMP DISCRETE 2 FAIL |  3 
IASC2            |   2   | FAILED/WIRING |HI TEMP DISCRETE 2 FAIL  |  3 
IB PRESS SWITCH  |   1   | FAILED/WIRING |IB ARINC PRESS DISAGREE  |  3 
IB BRAKE SOV     |   1   | FAILED/WIRING |INBD SHUTOFF VALVE FAULT |  3 
ICE DETECTOR 1   |   1   | FAILED/WIRING |ICE DETECTOR 1 FAIL      |  3 
ICE DETECTOR 2   |   1   | FAILED/WIRING |ICE DETECTOR 2 FAIL      |  3 
IAPS IEC 1       |   1   | FAILED        |FAN/ICC SENSOR           | 45 
L ENG IGN UNIT   |   1   | FAILED/WIRING |IGNITION ACTIVATION 1A   |  3 
L ENG IGN UNIT   |   2   | FAILED/WIRING |IGNITION ACTIVATION 1B   |  3 
L ENG IGN UNIT   |   3   | FAILED        |IGNITION ACTIVATION 4    |  3 
L ENG IGN UNIT   |   4   | FAILED        |IGNITION ACTIVATION 5    |  3 
L ENG IGN PLUG   |   1   | FAILED/WIRING |IGNITOR A PLUG/LEAD      |  3 
L ENG IGN PLUG   |   2   | FAILED/WIRING |IGNITOR B PLUG/LEAD      |  3 
R ENG IGN PLUG   |   1   | FAILED/WIRING |IGNITOR A PLUG/LEAD      |  3 
R ENG IGN PLUG   |   2   | FAILED/WIRING |IGNITOR B PLUG/LEAD      |  3 
R ENG IGN UNIT   |   1   | FAILED/WIRING |IGNITION ACTIVATION 1A   |  3 
R ENG IGN UNIT   |   2   | FAILED/WIRING |IGNITION ACTIVATION 1B   |  3 
R ENG IGN UNIT   |   3   | FAILED        |IGNITION ACTIVATION 4    |  3 
R ENG IGN UNIT   |   4   | FAILED        |IGNITION ACTIVATION 5    |  3 
IOC 1            |   1   | DON'T FAIL    |INSTALLED                |  0 

       LRU       | Mess# |    Status     |        Message          |Timer
------------------------------------------------------------------------
IOC 1            |   2   | FAILED        |INTERNAL FAULT           |  5 
IOC 1            |   3   | FAILED        |INTERNAL FAULT           |  5 
IOC 1            |   4   | OFF/NO OUTPUT |NO OUTPUT                |  3 
IOC 1            |   7   | FAILED/WIRING |NO L-IOC-1 BUS OUTPUT    | 10 
IOC 1            |   8   | FAILED/WIRING |NO L-IOC-3 BUS OUTPUT    | 10 
IOC 1            |   9   | FAILED/WIRING |NO L-IOC-4 BUS OUTPUT    | 10 
IOC 1            |  10   | FAILED/WIRING |NO L-IOC-4 BUS OUTPUT    | 10 
IOC 1            |  11   | FAILED/WIRING |NO L-IOC-4 BUS OUTPUT    | 15 
IOC 1            |  12   | FAILED/WIRING |NO L-IOC-5 BUS OUTPUT    | 10 
IOC 1            |  13   | FAILED/WIRING |NO L-GP-1 BUS OUTPUT     | 10 
IOC 1            |  14   | FAILED/WIRING |NO L-GP-4 BUS OUTPUT     | 10 
IOC 1            |  15   | FAILED/WIRING |NO L-GP-5 BUS OUTPUT     | 10 
IOC 1            |  16   | FAILED/WIRING |NO L-IOC-2 BUS OUTPUT    | 10 
IOC 1            |  17   | FAILED/WIRING |NO L-IOC-2 BUS OUTPUT    | 10 
IOC 1            |  18   | FAILED/WIRING |NO L-ADC-1 BUS INPUT     | 10 
IOC 1            |  19   | FAILED/WIRING |NO L-AHC-1 BUS INPUT     | 10 
IOC 1            |  20   | FAILED/WIRING |NO L-IRS-1 BUS INPUT     | 10 
IOC 1            |  21   | FAILED/WIRING |NO L-RALT-1 BUS INPUT    | 10 
IOC 1            |  25   | FAILED/WIRING |NO PSEU-A BUS INPUT      | 10 
IOC 1            |  26   | FAILED/WIRING |NO L-RIU-11 BUS INPUT    | 20 
IOC 1            |  27   | FAILED/WIRING |NO L-RIU-11 BUS INPUT    | 20 
IOC 2            |   1   | DON'T FAIL    |INSTALLED                |  0 
IOC 2            |   2   | FAILED        |INTERNAL FAULT           |  5 
IOC 2            |   3   | FAILED        |INTERNAL FAULT           |  5 
IOC 2            |   4   | OFF/NO OUTPUT |NO OUTPUT                |  3 
IOC 2            |   7   | FAILED/WIRING |NO R-IOC-1 BUS OUTPUT    | 10 
IOC 2            |   8   | FAILED/WIRING |NO R-IOC-3 BUS OUTPUT    | 10 
IOC 2            |   9   | FAILED/WIRING |NO R-IOC-4 BUS OUTPUT    | 10 
IOC 2            |  10   | FAILED/WIRING |NO R-IOC-4 BUS OUTPUT    | 15 
IOC 2            |  11   | FAILED/WIRING |NO R-IOC-5 BUS OUTPUT    | 10 
IOC 2            |  12   | FAILED/WIRING |NO R-GP-1 BUS OUTPUT     | 10 
IOC 2            |  13   | FAILED/WIRING |NO R-GP-4 BUS OUTPUT     | 10 
IOC 2            |  14   | FAILED/WIRING |NO R-GP-5 BUS OUTPUT     | 10 
IOC 2            |  15   | FAILED/WIRING |NO R-IOC-2 BUS OUTPUT    | 10 
IOC 2            |  16   | FAILED/WIRING |NO R-IOC-2 BUS OUTPUT    | 10 
IOC 2            |  17   | FAILED/WIRING |NO R-ADC-1 BUS INPUT     | 10 
IOC 2            |  18   | FAILED/WIRING |NO R-AHC-1 BUS INPUT     | 10 
IOC 2            |  19   | FAILED/WIRING |NO R-IRS-1 BUS INPUT     | 10 
IOC 2            |  23   | FAILED/WIRING |NO PSEU-B BUS INPUT      | 10 
IOC 2            |  24   | FAILED/WIRING |NO L-RIU-12 BUS INPUT    | 20 
IOC 2            |  25   | FAILED/WIRING |NO L-RIU-12 BUS INPUT    | 20 
IRS 1            |   0   | PREREQUISITE  |INSTALLED                |  0 
IRS 1            |   1   | OFF/NO OUTPUT |NO OUTPUT                |  5 
IRS 1            |   2   | FAILED        |INTERNAL FAULT           | 10 
IRS 1            |   3   | FAILED/WIRING |NO L-IRS-1 BUS OUTPUT    | 10 
IRS 1            |   4   | FAILED/WIRING |NO L-IRS-2 BUS OUTPUT    | 10 
IRS 1            |   5   | FAILED/WIRING |NO L-IRS-2 BUS OUTPUT    | 12 
IRS 1            |   6   | FAILED/WIRING |NO L-IRS-2 BUS OUTPUT    | 12 
IRS 1            |   7   | FAILED/WIRING |NO L-IRS-3 BUS OUTPUT    | 10 
